Questionnaire,Organization Number,Organization Name,City,Country,CDP Region,C40 City,GCoM City,Access,Assessment attachment and/or direct link,Confirm attachment/link provided,Boundary of assessment relative to jurisdiction boundary,Year of publication or approval,Factors considered in assessment,Primary author(s) of assessment,Does the city have adaptation goal(s) and/or an adaptation plan?,Population,Population Year,City Location,Last update
Cities 2022,56276,New Taipei City Government,New Taipei,"Taiwan, China",East Asia,No,Yes,public,(1.1a)(7.1a)New Taipei City Climate Action Plan 2020.pdf,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2020,Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,3970000,2022,POINT (121.446 25.0111),02/17/2023 03:20:42 AM
Cities 2022,58489,Høje-Taastrup Municipality,Hoeje-Taastrup,Denmark,Europe,No,Yes,public,http://www2.htk.dk/Teknik_og_miljoecenter/Klima/Kortlaegning-af-risiko-for-oversvoemelse-HTK.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2014,Assessment considers vulnerable populations,"Consultant; Other, please specify: municipal environmental center",Adaptation goal(s),51729,2021,POINT (12.2898 55.6563),02/17/2023 03:20:42 AM
Cities 2022,49327,"City of Providence, RI",Providence,United States of America,United States of America,No,Yes,public,http://www.planning.ri.gov/documents/sea_level/2015/TP164.pdf,The assessment can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: The State of Rhode Island's transportation infrastructure with a focus on assets under state jurisdiction",2015,A process has been established for prioritizing identified hazards; Assessment considers vulnerable populations; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Regional/ state/ provincial government,Adaptation goal(s) and adaptation plan,180609,2020,POINT (-71.4128 41.824),02/17/2023 03:20:42 AM
Cities 2022,831926,Ramallah,,State of Palestine,Middle East,No,No,public,RamallahPalestineVersion0chapter12352secap.docx,The assessment has been attached,Same - covers entire jurisdiction and nothing else,,,Question not applicable,Adaptation goal(s),0,,,02/17/2023 03:20:42 AM
Cities 2022,50374,Alcaldia Distrital de Cartagena de Indias,Cartagena,Colombia,Latin America,No,Yes,public,Tablas-Recapitulativas-Mpios-13001-CARTAGEDEINDIAS.xlsx,The assessment has been attached and can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2017,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers water security,National/ central government,Adaptation goal(s) and adaptation plan,1003685,2019,POINT (-75.5264 10.4199),02/17/2023 03:20:42 AM
Cities 2022,58489,Høje-Taastrup Municipality,Hoeje-Taastrup,Denmark,Europe,No,Yes,public,https://www.htk.dk/Erhvervsservice/Vand/Lukning-Taastrup-Valby-Kildeplads,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2020,Assessment considers nature,"Consultant; Other, please specify: municipal environmental center",Adaptation goal(s),51729,2021,POINT (12.2898 55.6563),02/17/2023 03:20:42 AM
Cities 2022,826429,Municipality of Figueira da Foz,Figueira da Foz,Portugal,Europe,No,Yes,public,https://www.cm-figfoz.pt/cmfigueiradafoz/uploads/writer_file/document/192/estrategia_municipal_de_adptacao_as_alteracoes_climaticas.pdf,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2016,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,58962,2021,POINT (-8.8576 40.1521),02/17/2023 03:20:42 AM
Cities 2022,61467,Dipolog City,,Philippines,Southeast Asia,No,Yes,public,LCCAP_ Dipolog City2015 Ed.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2014,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,138141,2020,,02/17/2023 03:20:42 AM
Cities 2022,35870,"City of Miami, FL",Miami,United States of America,United States of America,Yes,No,public,https://www.saj.usace.army.mil/MiamiDadeBackBayCSRMFeasibilityStudy/,The assessment can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Miami-Dade County",2020,A process has been established for prioritizing identified hazards,National/ central government,Adaptation goal(s),456923,2022,POINT (-80.1918 25.7617),02/17/2023 03:20:42 AM
Cities 2022,59538,"City of Mississauga, ON",Mississauga,Canada,Canada,No,Yes,public,An overview of the Climate Change Risk Assessment can be found in our Climate Change Action Plan: https://www.mississauga.ca/publication/climate-change-action-plan/ (see Appendix B),The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2019,,Consultant; Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,717960,2021,POINT (43.589 -79.6441),02/17/2023 03:20:42 AM
Cities 2022,31149,Municipality of Athens,Athens,Greece,Europe,Yes,Yes,public,Risk Assessment_Athens.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2021,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers transition risks; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant,Adaptation goal(s) and adaptation plan,640255,2020,POINT (23.7275 37.9838),02/17/2023 03:20:42 AM
Cities 2022,35872,Municipality of Recife,Recife,Brazil,Latin America,No,Yes,public,sumario_clima_recife_portugues_impresso.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2019,Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant,Adaptation goal(s) and adaptation plan,1661017,2021,POINT (-34.8829 -8.05783),02/17/2023 03:20:42 AM
Cities 2022,36285,City of Florence,Firenze,Italy,Europe,No,Yes,public,FIRENZEVRVeazioniadattamentodef.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2021,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,"Consultant; Dedicated team within jurisdiction; Other, please specify: the risks and vulnerability analysis has been carried out in the framework of a H2020 project CoME Easy, supported by an international team of experts",Adaptation goal(s) and adaptation plan,366079,2022,POINT (11.2558 43.7696),02/17/2023 03:20:42 AM
Cities 2022,35885,Tel Aviv-Yafo Municipality,Tel Aviv-Yafo,Israel,Middle East,Yes,No,public,https://ims.gov.il/sites/default/files/inline-files/%D7%93%D7%95%D7%97%20%D7%A8%D7%A9%D7%95%D7%AA%20%D7%94%D7%9E%D7%99%D7%9D%20%D7%9E%D7%A8%D7%A5%202021.pdf,The assessment can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions",2021,,National/ central government,Adaptation goal(s) and adaptation plan,463810,2020,POINT (34.7823 32.0816),02/17/2023 03:20:42 AM
Cities 2022,37261,City of Pietermaritzburg,Pietermaritzburg,South Africa,Africa,No,Yes,public,"FINAL Climate Change Adaptation & Mitigation Strategy.pdf, Final climate change policy May 2019.pdf, Msunduzi winter plan 2022 23 Final.docx, SECTOR PLAN 2022 2023 Msunduzi Disaster Management  March 2022 final.docx",The assessment has been attached and can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2016,Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security,"Other, please specify: official within the municipality",Adaptation goal(s) and adaptation plan,682000,2016,POINT (30.3794 -29.6006),02/17/2023 03:20:42 AM
Cities 2022,55324,Municipality of Guimarães,Guimarães,Portugal,Europe,No,Yes,public,PIAACAve.pdf,The assessment has been attached and can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Abrange toda a Comunidade Intermunicipal (CIM) do Ave, constituída pelos municípios: Cabeceiras de Basto; Fafe; Guimarães; Mondim de Basto; Póvoa de Lanhoso; Vieira do Minho; Vila Nova de Famalicão; Vizela",2020,A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,"Other, please specify: A elaboração técnica do PIAAC Ave esteve a cargo de uma equipa da Comunidade Intermunicipal do Ave e dos Municípios abrangidos e de uma equipa de acessoria externa",Adaptation goal(s) and adaptation plan,156849,2021,POINT (-8.29224 41.4443),02/17/2023 03:20:42 AM
Cities 2022,31173,City of Milan,Milano,Italy,Europe,Yes,Yes,public,https://geoportale.comune.milano.it/download/area_download/SIT/HeatData/avgLST_Milan_UrbanAtlas.zip,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2018,,,Adaptation goal(s) and adaptation plan,1386285,2021,POINT (9.08635 45.8026),02/17/2023 03:20:42 AM
